Ticker,Name,Market Cap,Sector,Industry
OKTA,Okta Inc - Class A,11678559547,Technology,Application Software
EVRG,Evergy Inc,11675760488,Utilities,Utilities - Regulated
CG,Carlyle Group Inc (The),11658848908,Financial Services,Asset Management
WSM,Williams-Sonoma Inc,11654433484,Consumer Cyclical,Retail - Apparel & Specialty
KIM,Kimco Realty Corporation,11622807638,Real Estate,REITs
ZBRA,Zebra Technologies Corp - Class A,11595282893,Industrials,Industrial Products
FMS,Fresenius Medical Care AG & Co. KGaA,11583962967,Healthcare,Health Care Providers
SJM,J.M. Smucker Company,11562901719,Consumer Defensive,Consumer Packaged Goods
PSTG,Pure Storage Inc - Class A,11498653336,Technology,Computer Hardware
HTHT,H World Group Ltd,11461562281,Consumer Cyclical,Travel & Leisure
TRU,TransUnion,11441427000,Industrials,Business Services
AOS,A.O. Smith Corp,11419224452,Industrials,Industrial Products
GL,Globe Life Inc,11413444882,Financial Services,Insurance - Life
IP,International Paper Company,11390291327,Consumer Cyclical,Packaging & Containers
SNN,Smith & Nephew plc,11365847586,Healthcare,Medical Devices
NJDCY,Nidec Corporation,11364349194,Unknown,Unknown
TWLO,Twilio Inc Class A,11348760579,Technology,Application Software
AEG,Aegon Ltd,11328254851,Financial Services,Insurance
AES,AES Corp,11323426982,Utilities,Utilities - Regulated
RBA,RB Global Inc,11320057121,Industrials,Business Services
RDY,Dr. Reddy`s Laboratories Ltd,11260372943,Healthcare,Drug Manufacturers
KEY,Keycorp,11259104632,Financial Services,Banks
CNA,CNA Financial Corp,11243470703,Financial Services,Insurance - Property & Casualty
VTRS,Viatris Inc,11239619478,Unknown Sector,Unknown Industry
APA,APA Corporation,11233623170,Energy,Oil & Gas - E&P
SAIA,Saia Inc,11230304370,Industrials,Transportation & Logistics
JKHY,Jack Henry & Associates Inc,11165639205,Industrials,Business Services
LECO,Lincoln Electric Holdings Inc,11158707688,Industrials,Industrial Products
BURL,Burlington Stores Inc,11137992309,Consumer Defensive,Retail - Defensive
RVTY,Revvity Inc,11107578325,Healthcare,Medical Diagnostics & Research
RNR,RenaissanceRe Holdings Ltd,11071589435,Financial Services,Insurance - Specialty
BCH,Banco de Chile,11061370382,Financial Services,Banks
ARCC,Ares Capital Corp,11058396305,Financial Services,Asset Management
XM,Qualtrics International Inc - Class A,10999948939,Unknown Sector,Unknown Industry
U,Unity Software Inc,10963044950,Unknown Sector,Unknown Industry
WES,Western Midstream Partners LP,10938439537,Energy,Oil & Gas - Midstream
UDR,UDR Inc,10915679159,Real Estate,REITs
PAA,Plains All American Pipeline LP,10873932393,Energy,Oil & Gas - Midstream
TRMB,Trimble Inc,10846690415,Technology,Computer Hardware
NBIX,Neurocrine Biosciences Inc,10837468901,Healthcare,Biotechnology
CHK,Chesapeake Energy Corp - New,10828078966,Unknown Sector,Unknown Industry
NI,NiSource Inc,10823143160,Utilities,Utilities - Regulated
UTHR,United Therapeutics Corp,10817034867,Healthcare,Biotechnology
UHAL,U-Haul Holding Company,10811734303,Industrials,Consulting & Outsourcing
TPG,TPG Inc - Class A,10784755294,Unknown Sector,Unknown Industry
BSAC,Banco Santander Chile SA,10735775843,Financial Services,Banks
PAYC,Paycom Software Inc,10732901908,Technology,Application Software
VIVHY,Vivendi SE,10711050384,Discretionary,Media
RGA,Reinsurance Group Of America Inc,10693205539,Financial Services,Insurance - Specialty
FIVE,Five Below Inc,10631829539,Consumer Cyclical,Retail - Apparel & Specialty
CASY,Casey`s General Stores Inc,10614987463,Consumer Defensive,Retail - Defensive
TEVA,Teva- Pharmaceutical Industries Ltd,10601350381,Healthcare,Drug Manufacturers
USFD,US Foods Holding Corp,10572368690,Consumer Defensive,Retail - Defensive
EBR,Centrais Eletricas Brasileiras S.A.,10555620861,Utilities,Utilities - Regulated
CDAY,Ceridian HCM Holding Inc,10552087151,Technology,Application Software
NRG,NRG Energy Inc,10500451817,Utilities,Utilities - Independent Power Producers
OTEX,Open Text Corp,10500345926,Technology,Application Software
REG,Regency Centers Corporation,10467106913,Real Estate,REITs
PNR,Pentair plc,10355907681,Industrials,Industrial Products
DKS,Dicks Sporting Goods Inc,10354967733,Consumer Cyclical,Retail - Apparel & Specialty
XPO,XPO Inc,10308321741,Industrials,Transportation & Logistics
PATH,UiPath Inc - Class A,10274880486,Unknown Sector,Unknown Industry
WPP,WPP Plc.,10258456071,Consumer Cyclical,Advertising & Marketing Services
TFX,Teleflex Incorporated,10254628937,Healthcare,Medical Instruments & Equipment
PAG,Penske Automotive Group Inc,10242825764,Consumer Cyclical,Autos
EME,Emcor Group Inc,10193420723,Industrials,Engineering & Construction
EQH,Equitable Holdings Inc,10128762450,Financial Services,Insurance
KMX,Carmax Inc,10103266525,Consumer Cyclical,Autos
TFII,TFI International Inc,10083102321,Unknown,Unknown
DOX,Amdocs Ltd,10076989230,Technology,Application Software
GFL,GFL Environmental Inc (Sub Voting),10058305298,Unknown Sector,Unknown Industry
TECH,Bio-Techne Corp,10056722757,Healthcare,Biotechnology
LKNCY,Luckin Coffee Inc,10052164707,Unknown Sector,Unknown Industry
DINO,HF Sinclair Corp,10039705720,Energy,Oil & Gas - Refining & Marketing
LAMR,Lamar Advertising Co - Class A,10016583310,Real Estate,REITs
CRL,Charles River Laboratories International Inc,9995351047,Healthcare,Medical Diagnostics & Research
WYNN,Wynn Resorts Ltd,9972847315,Consumer Cyclical,Travel & Leisure
CX,Cemex S.A.B. De C.V.,9944982599,Basic Materials,Building Materials
CZR,Caesars Entertainment Inc,9944239234,Consumer Cyclical,Travel & Leisure
CCK,Crown Holdings Inc,9933062550,Consumer Cyclical,Packaging & Containers
FFIV,F5 Inc,9908324091,Technology,Application Software
PFGC,Performance Food Group Company,9879256901,Consumer Defensive,Retail - Defensive
VIPS,Vipshop Holdings Ltd,9855099593,Consumer Cyclical,Retail - Apparel & Specialty
REXR,Rexford Industrial Realty Inc,9818369202,Real Estate,REITs
DBX,Dropbox Inc - Class A,9790511983,Technology,Application Software
FND,Floor & Decor Holdings Inc - Class A,9768235383,Consumer Cyclical,Retail - Apparel & Specialty
C-P-N,Citigroup Capital VIII 7875 Fixed rate Floating Rate trust Preferred Securities TruPS,9741880587,Unknown,Unknown
EMN,Eastman Chemical Company,9653993420,Basic Materials,Chemicals
CHRW,C.H. Robinson Worldwide Inc,9633531057,Industrials,Transportation & Logistics
UHS,Universal Health Services Inc - Class B,9602622990,Healthcare,Health Care Providers
LCID,Lucid Group Inc,9587131096,Unknown Sector,Unknown Industry
NTNX,Nutanix Inc - Class A,9585975822,Technology,Application Software
RXDX,Prometheus Biosciences Inc,9558070442,Unknown Sector,Unknown Industry
BRKR,Bruker Corp,9552794285,Healthcare,Medical Diagnostics & Research
HII,Huntington Ingalls Industries Inc,9491679636,Industrials,Aerospace & Defense
BEPC,Brookfield Renewable Corporation - Class A - Class A (Sub Voting),9475629527,Unknown Sector,Unknown Industry
AFG,American Financial Group Inc,9473329250,Financial Services,Insurance - Property & Casualty
WRK,WestRock Company,9459271768,Consumer Cyclical,Packaging & Containers
CPT,Camden Property Trust,9440650882,Real Estate,REITs
COTY,Coty Inc - Class A,9414970766,Consumer Defensive,Consumer Packaged Goods
WMS,Advanced Drainage Systems Inc,9402148357,Consumer Cyclical,Autos
TOL,Toll Brothers Inc,9327966020,Consumer Cyclical,Homebuilding & Construction
BLD,TopBuild Corp,9324259385,Basic Materials,Building Materials
LEGN,Legend Biotech Corp,9277949467,Unknown Sector,Unknown Industry
QGEN,Qiagen NV,9256005000,Healthcare,Medical Diagnostics & Research
WTRG,Essential Utilities Inc,9247121964,Utilities,Utilities - Regulated
SNX,TD Synnex Corp,9242278587,Industrials,Business Services
BKGM,BankGuam Holding Company,9241355850,Financials,Banks
ESLT,Elbit Systems Ltd,9220114560,Industrials,Aerospace & Defense
PARA,Paramount Global - Class B,9219609262,Unknown,Unknown
SCI,Service Corp International,9203809364,Consumer Cyclical,Personal Services
ALLE,Allegion plc,9187934275,Industrials,Consulting & Outsourcing
FTI,TechnipFMC plc,9164394275,Energy,Oil & Gas - Services
SBS,Companhia de Saneamento Basico do Estado de Sao Paulo.,9145362047,Utilities,Utilities - Regulated
QRVO,Qorvo Inc,9139940041,Technology,Semiconductors
PEAK,Healthpeak OP LLC,9097512809,Real Estate,REITs
HSIC,Henry Schein Inc,9091622219,Healthcare,Medical Distribution
NXG,NXG NextGen Infrastructure Income Fund,9084012063,Unknown Sector,Unknown Industry
DVA,DaVita Inc,9082524000,Healthcare,Health Care Providers
DUOL,Duolingo Inc - Class A,9078837824,Unknown Sector,Unknown Industry
PSO,Pearson plc,9063624000,Consumer Cyclical,Publishing
CHDN,Churchill Downs Inc,9010500518,Consumer Cyclical,Travel & Leisure
BIO,Bio-Rad Laboratories Inc - Class A,9010141223,Healthcare,Medical Diagnostics & Research
NVT,nVent Electric plc,9003213692,Technology,Computer Hardware
KEP,Korea Electric Power,8961818515,Utilities,Utilities - Regulated
GLOB,Globant S.A.,8937967800,Technology,Application Software
CLH,Clean Harbors Inc,8936511475,Industrials,Waste Management
RGEN,Repligen Corp,8932720348,Healthcare,Biotechnology
ITT,ITT Inc,8932480000,Industrials,Industrial Products
MTCH,Match Group Inc - New,8918242233,Technology,Online Media
ZG,Zillow Group Inc - Class A,8907925285,Real Estate,Real Estate Services
PEN,Penumbra Inc,8905006084,Healthcare,Medical Devices
UWMC,UWM Holdings Corporation Class A,8901130431,Unknown Sector,Unknown Industry
MKTX,MarketAxess Holdings Inc,8824806718,Financial Services,Brokers & Exchanges
BJ,BJ`s Wholesale Club Holdings Inc,8796861293,Consumer Cyclical,Retail - Apparel & Specialty
ETSY,Etsy Inc,8793026424,Consumer Cyclical,Retail - Apparel & Specialty
SKM,SK Telecom Co Ltd,8780023404,Communication Services,Communication Services
TTEK,Tetra Tech Inc,8762096430,Industrials,Engineering & Construction
CHE,Chemed Corp,8755294186,Healthcare,Health Care Providers
NLY,Annaly Capital Management Inc,8747110379,Real Estate,REITs
CHWY,Chewy Inc - Class A,8740893111,Unknown Sector,Unknown Industry
RHI,Robert Half Inc,8730418207,Industrials,Employment Services
MTN,Vail Resorts Inc,8719682639,Consumer Cyclical,Travel & Leisure
ONON,On Holding AG Class A,8714462272,Unknown Sector,Unknown Industry
AIZ,Assurant Inc,8692539307,Financial Services,Insurance
JNPR,Juniper Networks Inc,8689577645,Technology,Communication Equipment
ALV,Autoliv Inc,8680256714,Consumer Cyclical,Autos
TTC,Toro Company,8667807071,Industrials,Industrial Products
CUBE,CubeSmart,8664122519,Real Estate,REITs
EWBC,East West Bancorp Inc,8627674075,Financial Services,Banks
IBKR,Interactive Brokers Group Inc - Class A,8627254298,Financial Services,Brokers & Exchanges
GGB,Gerdau S.A.,8576797904,Basic Materials,Steel
CLF,Cleveland-Cliffs Inc,8571293739,Basic Materials,Metals & Mining
EMRAF,Emera Inc,8554630473,Unknown,Unknown
DOCU,DocuSign Inc,8552199939,Technology,Application Software
AGCO,AGCO Corp,8537788411,Industrials,Farm & Construction Machinery
SKX,Skechers U S A Inc - Class A,8528494648,Consumer Cyclical,Manufacturing - Apparel & Furniture
BXP,Boston Properties Inc,8467548355,Real Estate,REITs
MEDP,Medpace Holdings Inc,8461914961,Healthcare,Medical Diagnostics & Research
PCTY,Paylocity Holding Corp,8449125496,Technology,Application Software
ATR,Aptargroup Inc,8438962718,Consumer Cyclical,Packaging & Containers
KNSL,Kinsale Capital Group Inc,8401152494,Financial Services,Insurance - Property & Casualty
FBIN,Fortune Brands Innovations Inc,8379849941,Consumer Cyclical,Manufacturing - Apparel & Furniture
KNX,Knight-Swift Transportation Holdings Inc - Class A,8366319780,Industrials,Transportation & Logistics
UNM,Unum Group,8359042833,Financial Services,Insurance - Life
FUTU,Futu Holdings Ltd,8349448447,Unknown Sector,Unknown Industry
PNW,Pinnacle West Capital Corp,8345443751,Utilities,Utilities - Regulated
TIMB,TIM SA,8293675868,Unknown Sector,Unknown Industry
DLB,Dolby Laboratories Inc - Class A,8289226617,Consumer Cyclical,Entertainment
STVN,Stevanato Group Spa,8204191399,Unknown Sector,Unknown Industry
CW,Curtiss-Wright Corp,8198896806,Industrials,Industrial Products
ORI,Old Republic International Corp,8183478631,Financial Services,Insurance
ALLY,Ally Financial Inc,8173868613,Financial Services,Banks
BWA,BorgWarner Inc,8135531122,Consumer Cyclical,Autos
RRC,Range Resources Corp,8070813555,Energy,Oil & Gas - E&P
PCOR,Procore Technologies Inc,8067489282,Unknown Sector,Unknown Industry
AAL,American Airlines Group Inc,8042891587,Industrials,Airlines
RL,Ralph Lauren Corp - Class A,8006576076,Consumer Cyclical,Manufacturing - Apparel & Furniture
LSCC,Lattice Semiconductor Corp,8005567326,Technology,Semiconductors
WWD,Woodward Inc,7984790016,Industrials,Aerospace & Defense
LNW,Light & Wonder Inc,7983676607,Consumer Cyclical,Travel & Leisure
YMM,Full Truck Alliance Co Ltd,7980693380,Unknown Sector,Unknown Industry
CNM,Core & Main Inc Class A,7973226173,Unknown Sector,Unknown Industry
MNDY,Monday.Com Ltd,7958615700,Unknown Sector,Unknown Industry
CURLF,Curaleaf Holdings Inc,7953876549,Unknown,Unknown
MUSA,Murphy USA Inc,7931608336,Consumer Cyclical,Retail - Apparel & Specialty
GWRE,Guidewire Software Inc,7909928202,Technology,Application Software
MHGVY,Mowi ASA,7853994627,Unknown,Unknown
WCC,Wesco International Inc,7845326157,Industrials,Industrial Distribution
OLED,Universal Display Corp,7833464196,Technology,Semiconductors
LEA,Lear Corp,7833326313,Consumer Cyclical,Autos
CYBR,CyberArk Software Ltd,7821058599,Technology,Application Software
EGP,Eastgroup Properties Inc,7816320349,Real Estate,REITs
SRPT,Sarepta Therapeutics Inc,7813973621,Healthcare,Biotechnology
OHI,Omega Healthcare Investors Inc,7777149806,Real Estate,REITs
X,United States Steel Corp,7736843652,Basic Materials,Steel
JEF,Jefferies Financial Group Inc,7712217218,Financial Services,Asset Management
BZ,Kanzhun Ltd,7708729345,Unknown Sector,Unknown Industry
STN,Stantec Inc,7704602003,Industrials,Engineering & Construction
JAZZ,Jazz Pharmaceuticals plc,7684769317,Healthcare,Biotechnology
AFRM,Affirm Holdings Inc - Class A,7653017054,Unknown Sector,Unknown Industry
SEIC,SEI Investments Company,7638383354,Financial Services,Asset Management
RGLD,Royal Gold Inc,7634344665,Basic Materials,Metals & Mining
RRX,Regal Rexnord Corp,7626470779,Industrials,Industrial Products
NFE,New Fortress Energy Inc - Class A,7575910452,Unknown Sector,Unknown Industry
BERY,Berry Global Group Inc,7569029000,Consumer Cyclical,Packaging & Containers
AIIXY,Aixtron SE,7555042967,Unknown Sector,Unknown Industry
FCN,FTI Consulting Inc,7536481695,Industrials,Business Services
AR,Antero Resources Corp,7530621716,Energy,Oil & Gas - E&P
PRI,Primerica Inc,7528203431,Financial Services,Insurance - Life
COLD,Americold Realty Trust Inc,7523897836,Real Estate,REITs
ESTC,Elastic N.V,7523445944,Technology,Application Software
MNSO,MINISO Group Holding Ltd,7514131381,Unknown Sector,Unknown Industry
TOST,Toast Inc - Class A,7509573749,Unknown Sector,Unknown Industry
FRT,Federal Realty Investment Trust.,7507477013,Real Estate,REITs
WSC,WillScot Mobile Mini Holdings Corp,7493632658,Industrials,Consulting & Outsourcing
VOYA,Voya Financial Inc,7492404341,Financial Services,Asset Management
HOOD,Robinhood Markets Inc - Class A,7491273211,Unknown Sector,Unknown Industry
ASX,ASE Technology Holding Co.Ltd,7488999001,Technology,Semiconductors
NYT,New York Times Co. - Class A,7487292767,Consumer Cyclical,Publishing
TXRH,Texas Roadhouse Inc,7471151546,Consumer Cyclical,Restaurants
WBS,Webster Financial Corp,7469020032,Financial Services,Banks
NOV,NOV Inc,7462070474,Energy,Oil & Gas - Services
EDR,Endeavor Group Holdings Inc - Class A,7457197402,Unknown Sector,Unknown Industry
WEX,WEX Inc,7455955841,Industrials,Business Services
HESM,Hess Midstream LP - Class A,7443447764,Energy,Oil & Gas - Midstream
BIRK,Birkenstock Holding Plc,7410501032,Unknown Sector,Unknown Industry
PR,Permian Resources Corp - Class A,7402696763,Energy,Oil & Gas - E&P
JLL,Jones Lang Lasalle Inc,7402179760,Real Estate,Real Estate Services
SWN,Southwestern Energy Company,7401831709,Energy,Oil & Gas - E&P
LAD,Lithia Motors Inc - Class A,7389516982,Consumer Cyclical,Autos
CACI,Caci International Inc,7373608271,Technology,Application Software
RMBS,Rambus Inc,7367465945,Technology,Semiconductors
PAC,Grupo Aeroportuario Del Pacifico SAB de CV,7366896677,Industrials,Transportation & Logistics
ARMK,Aramark,7343343673,Consumer Cyclical,Restaurants
TREX,TREX Co. Inc,7336690446,Basic Materials,Building Materials
HLI,Houlihan Lokey Inc - Class A,7319459415,Financial Services,Brokers & Exchanges
CCCS,CCC Intelligent Solutions Holdings Inc,7301081403,Unknown Sector,Unknown Industry
DCI,Donaldson Co. Inc,7293929970,Industrials,Industrial Products
AU,AngloGold Ashanti Plc.,7289575352,Unknown Sector,Unknown Industry
GNTX,Gentex Corp,7250516228,Consumer Cyclical,Autos
CAR,Avis Budget Group Inc,7213191373,Industrials,Consulting & Outsourcing
NNN,NNN REIT Inc,7201478263,Real Estate,REITs
BWXT,BWX Technologies Inc,7167294880,Industrials,Aerospace & Defense
SSL,Sasol Ltd,7164077728,Energy,Oil & Gas - Integrated
GTLB,Gitlab Inc - Class A,7157152000,Unknown Sector,Unknown Industry
MSTR,Microstrategy Inc - Class A,7153689905,Technology,Application Software
WF,Woori Financial Group Inc,7152079973,Financial Services,Banks
KGC,Kinross Gold Corp,7134008850,Basic Materials,Metals & Mining
CTLT,Catalent Inc,7131583127,Healthcare,Drug Manufacturers
MKTAY,Makita Corporation,7111052422,Industrials,Machinery
IONS,Ionis Pharmaceuticals Inc,7106113393,Healthcare,Biotechnology
KRTX,Karuna Therapeutics Inc,7085321645,Unknown Sector,Unknown Industry
FIX,Comfort Systems USA Inc,7074538979,Industrials,Engineering & Construction
ASR,Grupo Aeroportuario Del Sureste S.A.,7070100000,Industrials,Transportation & Logistics
INFA,Informatica Inc - Class A,7064623688,Unknown Sector,Unknown Industry
KBR,KBR Inc,7060168775,Industrials,Engineering & Construction
WING,Wingstop Inc,7040242648,Consumer Cyclical,Restaurants
APG,APi Group Corporation,7028780481,Unknown Sector,Unknown Industry
APPF,Appfolio Inc - Class A,7023036820,Technology,Application Software
RBC,RBC Bearings Inc,7018793932,Industrials,Industrial Products
GNRC,Generac Holdings Inc,6990463823,Industrials,Industrial Products
OGE,Oge Energy Corp,6990029004,Utilities,Utilities - Regulated
KVYO,Klaviyo Inc - Series A,6981443691,Unknown Sector,Unknown Industry
GPK,Graphic Packaging Holding Company,6973690041,Consumer Cyclical,Packaging & Containers
UI,Ubiquiti Inc,6955015021,Technology,Communication Equipment
GPS,Gap Inc,6953756126,Consumer Cyclical,Retail - Apparel & Specialty
MTDR,Matador Resources Company,6949917423,Energy,Oil & Gas - E&P
ROIV,Roivant Sciences Ltd,6945679773,Unknown Sector,Unknown Industry
SSD,Simpson Manufacturing Co. Inc,6933484343,Industrials,Industrial Products
CART,Maplebear Inc,6928066324,Unknown Sector,Unknown Industry
TPR,Tapestry Inc,6911878048,Consumer Cyclical,Retail - Apparel & Specialty
INGR,Ingredion Inc,6895140245,Consumer Defensive,Consumer Packaged Goods
DAR,Darling Ingredients Inc,6894800253,Industrials,Waste Management
FSV,FirstService Corp,6881653690,Real Estate,Real Estate Services
CSAN,Cosan S.A,6881230564,Unknown Sector,Unknown Industry
THC,Tenet Healthcare Corp,6876975032,Healthcare,Health Care Providers
HRB,H&R Block Inc,6876492247,Consumer Cyclical,Personal Services
DSGX,Descartes Systems Group Inc,6873650234,Technology,Application Software
AXTA,Axalta Coating Systems Ltd,6863883579,Basic Materials,Chemicals
EXEL,Exelixis Inc,6845186878,Healthcare,Biotechnology
UFPI,UFP Industries Inc,6844125614,Basic Materials,Forest Products
CIEN,CIENA Corp,6838066284,Technology,Communication Equipment
SPAQ,Horizon Kinetics SPAC Active ETF,6832366200,Unknown Sector,Unknown Industry
COKE,Coca-Cola Consolidated Inc,6824139329,Consumer Defensive,Beverages - Non-Alcoholic
TPX,Tempur Sealy International Inc,6820856299,Consumer Cyclical,Manufacturing - Apparel & Furniture
AMKR,AMKOR Technology Inc,6814083638,Technology,Semiconductors
YNDX,Yandex NV - Class A,6791107384,Technology,Online Media
FHN,First Horizon Corporation,6788227878,Financial Services,Banks
BILL,BILL Holdings Inc,6782248590,Unknown Sector,Unknown Industry
BBWI,Bath & Body Works Inc,6778071973,Consumer Cyclical,Retail - Apparel & Specialty
BEP,Brookfield Renewable Partners LP,6772574604,Utilities,Utilities - Independent Power Producers
